code,NAME,DATE,TYPE,TITLE,DURATION,LINK,ENG SUB,MEMBERS,KEYWORDS,TAG,ERA,SEASON,EPISODE,SOURCE,NOTES,ALT LINKS
2404028,2024.04.15 [SIGNAL] COSMO EXCLUSIVE: Cream01 3rd Edition,2024-04-15,SIGNAL,tripleS Cream01 마지막 세번째 에디션 보러가기 | COSMO EXCLUSIVE 240415,0:00:44,https://youtu.be/m8N11HtyBao,YES,"Chaeyeon,Dahyun,Hayeon,Hyerin,Jiwoo,Joobin,Kaede,Kotone,Lynn,Mayu,Nakyoung,Nien,Seoyeon,Shion,Sohyun,Soomin,Xinyu,Yeonji,Yooyeon,Yubin","objekt,photoshoot","official,youtube",ASSEMBLE24,Cream01,,달디단김나갱,,
2404029,2024.04.16 [SHORTS] JooBin loves WAV,2024-04-16,Shorts,"WAV, I Love You so much🫶 #tripleS #트리플에스 #주빈 #JooBin",0:00:11,https://youtu.be/Z-NSkXcDu2o,,Joobin,"shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404030,"2024.04.16 [SIGNAL LIVE] SeoYeon, SeoAh, JiYeon",2024-04-16,LIVE,"[ENG SUB] tripleS SIGNAL LIVE 240416 (Seoyeon, Seoah, Jiyeon) 트리플에스 3 Seoz",0:49:08,https://youtu.be/U-CEbEaofKk,YES,"Jiyeon,Seoah,Seoyeon","SIGNAL LIVE,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,SeoYeon joins SeoAh and JiYeon in their first SIGNAL LIVE with WAV,
2404031,2024.04.17 [SHORTS] Han River Cat Challenge with Jiwoo,2024-04-17,Shorts,A cute baby chick walking across the frozen Han River🐤🐣 #tripleS #트리플에스 #지우 #JiWoo,0:00:15,https://youtu.be/Qn9QdrAm3eo,,Jiwoo,"shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404032,"2024.04.17 [SHORTS] Han River Cat Challenge with SeoYeon, SeoAh & JiYeon",2024-04-17,Shorts,Puppiez sometimes dream of being cute kittiez🐱💭 #tripleS #트리플에스 #서연 #SeoYeon #서아 #SeoAh #지연,0:00:09,https://youtu.be/iBaKiErNAJ0,,"Jiyeon,Seoah,Seoyeon","shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404033,2024.04.17 [SHORTS] COSMO Japanese Version Greeting,2024-04-17,Shorts,COSMO supports Japanese version #tripleS #트리플에스,0:00:16,https://youtu.be/FmtFlFAGwHk,,"Kaede,Kotone","cosmo,greeting,japanese,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404034,2024.04.17 [SHORTS] COSMO Chinese Version Greeting,2024-04-17,Shorts,COSMO now supports Chinese version! #tripleS #트리플에스,0:00:11,https://youtu.be/Bbmg-JcXWjo,,"Nien,Xinyu","chinese,cosmo,greeting,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404035,"2024.04.17 [VARIETY] Mimiminu God of CSAT Ep.58 feat. JiWoo, YooYeon, Mayu, JiYeon",2024-04-17,Variety,I had pride in Natural Science Current idol group member who entered EWHA Univ. through regular,0:28:27,https://youtu.be/UBV5KCCIer8,YES,"Jiwoo,Jiyeon,Mayu,Yooyeon","haus tour,variety","variety,youtube",ASSEMBLE24,Cream01,,미미미누,,
2404036,"2024.04.17 [SIGNAL LIVE] YooYeon, Nien, XInyu, Lynn",2024-04-17,LIVE,"[ENG SUB] tripleS SIGNAL LIVE 240417 (Yooyeon, Nien, Xinyu, Lynn) 트리플에스 Turn of Events",0:52:49,https://youtu.be/jXXrSBlh0ks,YES,"Lynn,Nien,Xinyu,Yooyeon","SIGNAL LIVE,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,"YooYeon crashes Nien, Xinyu and Lynn’s LIVE due to her flight to Dubai being cancelled",
2404037,2024.04.17 [SIGNAL],2024-04-17,SIGNAL,Happiness of Nien & Xinyu is also happiness of WAV | EN | SIGNAL 240417,0:09:40,https://youtu.be/0kLf4uPfSQM,YES,"Nien,Xinyu","coex,date,eating,haidilao,hanging out,healing,hotpot,shopping,shopping mall","official,youtube",ASSEMBLE24,Cream01,SIGNAL 503,tripleS official,,
2404038,2024.04.18 [SIGNAL],2024-04-18,SIGNAL,I sent my soul to Dubai in advance - tripleS went to Dubai after three fails | EN | SIGNAL 240418,0:02:21,https://youtu.be/cS3RQ2o9z6A,YES,"Kaede,Kotone,Lynn,Nien,Xinyu,Yooyeon,Yubin","airport,dubai,travel","official,youtube",ASSEMBLE24,Cream01,SIGNAL 504,tripleS official,,
2404039,2024.04.18 [SHORTS] Xinyu’s hand-made noodle show,2024-04-18,Shorts,Xinyu's never-ending handmade noodle show 🍜 #tripleS #트리플에스 #신위 #Xinyu,0:00:19,https://youtu.be/0UCizBjFMjE,,Xinyu,"hotpot,making noodles,recap,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404040,2024.04.18 [SIGNAL LIVE] Xinyu,2024-04-18,LIVE,[ENG SUB] tripleS Weibo SIGNAL LIVE 240418 (Xinyu) 트리플에스 Personal Theater,0:59:56,https://youtu.be/GIivDv7gvCg,YES,Xinyu,"SIGNAL LIVE,Weibo,chinese,fan-subbed","livestream,official,youtube",ASSEMBLE24,Cream01,,MangoNim,Xinyu does an open acting class with WAV,
2404041,2024.04.19 [SIGNAL],2024-04-19,SIGNAL,Prof.HyeRin + three cute mischief-makers = 07z | EN | SIGNAL 240419,0:07:49,https://youtu.be/-D5yx4y71kM,YES,"Chaewon,Hayeon,Hyerin,Soomin","07z,atom office,dance challenge,dancing,filming tiktok","official,youtube",ASSEMBLE24,Cream01,SIGNAL 505,tripleS official,,
2404042,2024.04.20 [WEB DRAMA] What's Up Ep.3,2024-04-20,Drama,친구 사이 격차 [요즘 뭐해] Ep.3 (SUB),0:07:31,https://youtu.be/wLDb6fGITDE,YES,Yooyeon,web drama,"drama,youtube",ASSEMBLE24,Cream01,3,MEME STUDIO,,
2404043,2024.04.20 [SIGNAL],2024-04-20,SIGNAL,Healing self-cam videos of tripleS with spring breeze! | EN | SIGNAL 240420,0:07:47,https://youtu.be/g6kVL_q_N0M,YES,"Hayeon,Hyerin,Jiwoo,Joobin,Kaede,Kotone,Lynn,Soomin,Yeonji,Yooyeon","advertisement,cafe,chowall high school,games,han river,hangang,hanging out,high school,picnic,self-cam,studying","official,youtube",ASSEMBLE24,Cream01,SIGNAL 506,tripleS official,,
2404044,2024.04.21 [SecretBase] Xinyu,2024-04-21,SecretBase,SecretBase 240413 Xinyu.SSS [ EN ],0:03:26,https://youtu.be/Fe_66XNg0CM,YES,Xinyu,self-cam,"official,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404045,2024.04.22 [SHORTS] Pokémon Jiwoo,2024-04-22,Shorts,Pokémon Jiwoo VS tripleS Jiwoo #tripleS #트리플에스 #지우 #JiWoo,0:00:19,https://youtu.be/WPitkIsEn7I,,Jiwoo,"shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404046,2024.04.23 [SHORTS] KaTone in Dubai,2024-04-23,Shorts,KaTone in Dubai🐫 #tripleS #트리플에스 #카에데 #Kaede #코토네 #Kotone,0:00:14,https://youtu.be/kZFEdj194kg,,"Kaede,Kotone","dance challenge,dubai,shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404047,2024.04.23 [SHORTS] Party with Lynn & ShiOn,2024-04-23,Shorts,WAV~ Do you wanna party with us? 🥳🤩 #tripleS #트리플에스 #린 #Lynn #시온 #ShiOn,0:00:11,https://youtu.be/TTPoFSwGrVM,,"Lynn,Shion","shorts,tiktok,tiktok challenge","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404048,2024.04.23 [SHORTS] Sand boarding in Dubai,2024-04-23,Shorts,tripleS Sand Boarding in Dubai🛹 #tripleS #트리플에스 #유연 #YooYeon #유빈 #YuBin #카에데 #Kaede,0:00:50,https://youtu.be/yCgrjaMh9vI,,"Kaede,Yooyeon,Yubin","dubai,shorts,tiktok","official,shorts,tiktok,youtube",ASSEMBLE24,Cream01,,tripleS official,,
2404049,2024.04.24 [SIGNAL],2024-04-24,SIGNAL,"tripleS going to homeland of Thai Princess, Sullin! | EN | SIGNAL 240424",0:02:00,https://youtu.be/R_Vmto8XU30,YES,"Chaeyeon,Dahyun,Mayu,Nakyoung,Nien,Seoyeon,Sohyun,Sullin,Xinyu","airport,thailand,travel","official,youtube",ASSEMBLE24,Cream01,SIGNAL 507,tripleS official,,
